TIMESTAMP,CPU,MEMORY,MOUSE_X,MOUSE_Y,LEFT_CLICKS,RIGHT_CLICKS,q,w,e,r,t,d,f,tab,space,ctrl,anomaly
,18.5,57.1,0,785,0,1,0,0,0,0,0,0,0,0,0,0,0
,20.6,57.1,420,330,0,3,0,0,0,0,0,0,0,0,0,0,0
,27.7,57.1,772,517,0,0,0,0,0,0,0,0,0,0,0,0,0
,22.0,57.1,1253,861,0,2,0,0,0,0,0,0,0,0,0,0,0
,22.1,57.1,799,576,0,2,0,0,0,0,0,0,0,0,0,0,0
,19.7,57.1,551,0,0,2,0,0,0,0,0,0,0,0,0,0,0
,16.6,57.1,1233,574,0,2,0,1,0,0,1,0,0,0,0,0,0
,20.4,57.1,1294,530,0,1,1,0,0,0,0,0,0,0,0,0,0
,20.8,57.1,1226,566,0,0,0,0,0,0,2,0,0,0,0,0,0
,19.4,56.6,1226,566,0,0,0,0,0,0,1,0,0,0,0,0,0
,34.3,55.4,1221,582,0,0,0,0,0,0,2,0,0,0,0,0,0
,27.9,53.6,1214,598,0,0,0,2,0,0,2,0,0,0,0,0,0
,20.4,53.6,1315,558,0,1,0,0,0,0,0,0,0,0,0,0,0
,18.7,53.6,1219,572,0,0,0,0,0,0,2,0,0,0,0,0,0
,19.9,53.7,1217,571,0,0,0,0,0,0,2,0,0,0,0,0,0
,10.7,53.6,936,622,0,0,0,0,0,0,0,0,0,0,0,0,0
,17.0,53.7,1207,595,0,2,0,0,0,0,2,0,0,0,0,0,0
,18.7,53.7,1303,564,0,0,1,0,0,0,0,0,0,0,0,0,0
,21.4,53.7,1170,565,0,2,0,0,0,0,2,0,0,0,0,0,0
,20.2,53.7,1147,575,0,0,0,0,0,0,0,0,0,0,0,0,0
,17.4,53.7,1237,576,0,0,0,0,0,0,2,0,0,0,0,0,0
,15.5,53.7,1237,575,0,0,0,0,0,0,0,0,0,0,0,0,0
,18.0,53.7,1237,575,0,0,0,1,0,0,1,0,0,0,0,0,0
,18.6,53.7,1131,656,0,0,0,0,0,0,0,0,0,0,0,0,0
,14.1,53.7,479,1435,0,3,0,0,0,0,0,0,0,0,0,0,0
,25.8,53.7,647,931,0,1,0,0,0,0,0,0,0,0,0,0,0
,16.9,53.7,836,1157,0,1,0,0,0,0,0,0,0,0,0,0,0
,20.8,53.7,852,1158,0,0,0,0,0,0,0,0,0,0,0,0,0
,16.8,53.8,905,1192,0,0,0,0,0,0,0,0,0,1,0,0,0
,15.5,53.8,820,1227,0,1,0,0,0,0,0,0,0,0,0,0,0
,28.1,53.7,933,927,0,1,0,0,0,0,0,0,0,0,0,0,0
,18.6,53.8,963,1166,0,1,0,0,0,0,0,0,0,0,0,0,0
,19.2,53.7,1034,901,0,0,0,0,0,0,0,0,0,0,0,0,0
,13.3,53.8,1442,1430,0,2,0,0,0,0,0,0,0,0,0,0,0
,16.3,53.7,1546,689,0,1,0,0,0,0,0,0,0,0,0,0,0
,22.0,53.7,1697,599,0,1,0,0,0,0,0,0,0,0,0,0,0
,19.4,53.8,894,642,0,2,0,0,0,0,0,0,0,0,0,0,0
,23.1,53.8,888,615,0,2,0,0,0,0,0,0,0,0,0,0,0
,22.4,53.8,595,668,0,2,0,0,0,0,0,0,0,0,0,0,0
,16.8,53.8,801,895,0,2,0,0,0,0,0,0,0,0,0,0,0
,14.5,53.7,1369,1144,0,1,0,0,0,0,0,0,0,0,0,0,0
,18.6,53.8,911,488,0,1,0,0,0,0,1,0,0,0,0,0,0
,18.2,53.8,958,746,0,1,0,0,0,0,0,0,0,0,0,0,0
,26.0,53.8,1338,973,0,2,0,0,0,0,0,0,0,0,0,0,0
,22.8,53.8,2559,168,0,2,0,0,0,0,0,0,0,0,0,0,0
,27.8,53.8,1928,257,0,2,0,0,1,0,0,0,0,0,0,0,0
,25.4,53.8,1043,691,0,3,0,0,1,0,0,0,0,0,0,0,0
,20.6,53.8,1305,743,0,3,0,1,0,0,2,0,0,0,0,0,0
,19.8,53.8,1391,757,0,1,0,0,0,0,1,0,0,0,0,0,0
,16.3,53.8,1326,805,0,1,0,0,0,0,0,0,0,0,0,0,0
,18.5,53.8,1341,739,0,2,0,1,0,0,2,0,0,0,0,0,0
,26.8,53.8,757,770,0,2,0,0,0,0,0,0,0,0,0,0,0
,36.7,53.3,1982,8,0,2,0,0,0,0,0,0,0,0,0,0,0
,43.9,53.7,1793,534,0,1,0,0,0,0,0,0,0,0,0,0,0
,32.4,53.8,1815,412,0,0,0,0,0,0,0,0,0,0,0,0,0
,23.9,53.8,1774,559,0,2,0,0,0,0,0,0,0,0,0,0,0
,37.9,53.7,1746,252,0,1,1,0,0,0,0,0,0,0,0,0,0
,13.3,53.7,2154,200,0,0,0,0,0,0,0,0,0,1,0,0,0
,17.8,53.7,1483,533,0,0,0,0,0,0,1,0,0,0,0,0,0
,24.6,53.7,1799,380,0,0,0,0,0,0,0,0,0,0,0,0,0
,17.0,53.7,1897,498,0,1,0,0,0,0,0,0,0,0,0,0,0
,26.2,53.6,2314,157,0,1,0,0,0,0,0,0,0,16,0,0,0
,20.5,53.5,2559,0,0,2,0,0,0,0,0,0,0,15,0,0,0
,15.3,53.5,1936,328,0,1,0,0,0,0,0,0,0,15,0,0,0
,18.8,53.5,2099,292,0,1,0,0,0,0,0,0,0,0,0,0,0
,14.3,53.5,2168,216,0,0,0,0,0,0,0,0,0,0,0,0,0
,23.5,53.5,1535,790,0,0,0,0,0,0,0,0,0,0,0,0,0
,24.9,53.3,2253,267,0,2,0,0,0,0,0,0,0,0,0,0,0
,16.4,53.4,2496,66,0,1,0,0,0,0,0,0,0,0,0,0,0
,19.2,53.3,1593,657,0,2,0,0,0,0,0,0,0,0,0,0,0
,18.9,53.3,1797,565,0,2,0,0,0,0,0,0,0,0,0,0,0
,17.8,53.3,1607,474,0,1,0,0,0,0,1,0,0,0,0,0,0
,17.6,53.3,2051,224,0,1,1,0,0,0,0,0,0,0,0,0,0
,18.3,53.4,1487,632,0,2,0,1,0,0,1,0,0,0,0,0,0
,17.6,53.3,1849,488,0,1,0,0,0,0,0,0,0,0,0,0,0
,19.3,53.4,1798,366,0,1,0,0,0,0,1,0,0,0,0,0,0
,22.6,53.4,2559,80,0,0,0,0,0,0,0,0,0,0,0,0,0
,15.3,53.4,1648,418,0,0,0,0,0,0,0,0,0,0,0,0,0
,15.5,53.4,1729,804,0,2,0,0,0,0,0,0,0,0,0,0,0
,15.9,53.4,1713,485,0,1,0,0,0,0,0,0,0,0,0,0,0
,16.8,53.4,1891,410,0,1,0,0,0,0,0,0,0,0,0,0,0
,16.9,53.4,1629,510,0,0,0,0,0,0,0,0,0,0,0,0,0
,26.4,53.4,1617,132,0,2,0,0,0,0,0,0,0,0,0,0,0
,14.3,53.4,1681,444,0,0,0,0,0,0,0,0,0,0,0,0,0
,14.1,53.4,1762,499,0,0,0,0,0,0,0,0,0,0,0,0,0
,14.9,53.4,1368,253,0,2,0,0,0,0,1,0,0,0,0,0,0
,18.4,53.4,1572,341,0,0,0,0,0,0,0,0,0,0,0,0,0
,27.3,53.4,1372,281,0,0,0,0,0,0,0,0,0,0,0,0,0
,21.2,53.4,1480,388,0,0,0,0,0,0,0,0,0,0,0,0,0
,15.1,53.4,1767,528,0,1,0,0,0,0,1,0,0,0,0,0,0
,23.4,53.4,1737,597,0,2,0,0,0,0,1,0,0,0,0,0,0
,24.1,53.5,1334,455,0,0,0,0,0,0,0,0,0,0,0,0,0
,41.8,54.7,-319,-107,1,0,0,0,0,0,0,0,0,0,0,0,0
,23.1,62.5,955,1389,0,0,0,0,0,0,0,0,0,0,0,0,1
,18.1,63.0,755,1003,0,0,0,0,0,0,0,0,0,0,0,0,1
,21.7,63.3,468,926,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.3,63.3,662,893,0,0,0,0,0,0,0,0,0,0,0,0,1
,20.9,63.3,662,893,0,0,0,0,0,0,0,0,0,0,0,0,1
,21.0,63.3,662,893,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.4,63.3,662,893,0,0,0,0,0,0,0,0,0,0,0,0,1
,17.6,63.1,662,893,0,0,0,0,0,0,0,0,0,0,0,0,1
,21.1,63.1,527,979,0,0,0,0,0,0,0,0,0,0,0,0,1
,18.1,63.0,990,632,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.3,63.0,936,615,1,0,0,0,0,0,0,0,0,0,0,0,1
,19.0,63.0,1121,933,0,0,0,0,0,0,0,0,0,0,0,0,1
,18.0,63.0,1335,753,1,0,0,0,0,0,0,0,0,0,0,0,1
,14.1,63.0,567,815,0,0,0,0,0,0,0,0,0,0,0,0,1
,26.6,63.0,719,776,1,0,0,0,0,0,0,0,0,0,0,0,1
,25.8,63.0,1300,714,0,0,0,0,0,0,0,0,0,0,0,0,1
,27.1,63.0,882,565,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.0,63.0,1299,732,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.1,63.0,1336,663,0,1,0,0,0,0,0,0,0,0,0,0,1
,20.2,63.0,1434,602,0,1,0,0,0,0,0,0,0,0,0,0,1
,19.8,62.9,1445,592,0,0,0,0,0,0,0,0,0,0,0,0,1
,23.5,63.0,1420,584,0,1,0,0,0,0,0,0,0,0,0,0,1
,15.8,63.0,1448,467,0,1,0,1,0,0,0,0,0,0,0,0,1
,19.1,63.0,1247,548,0,3,0,8,0,0,0,0,0,0,0,0,1
,16.6,63.0,1629,444,0,1,0,0,0,0,0,0,0,0,0,0,1
,15.8,62.9,1648,568,0,0,0,0,13,0,0,0,0,0,0,0,1
,23.4,63.1,1653,507,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.8,63.0,1791,512,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.6,63.0,1778,456,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.8,63.0,1811,445,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.6,63.0,1587,318,0,0,0,0,0,0,0,0,0,0,0,0,1
,20.9,63.3,1744,270,0,2,0,15,0,0,0,0,0,0,0,0,1
,20.5,63.0,1756,266,0,0,0,0,0,1,0,0,0,0,0,0,1
,13.4,63.0,1784,258,0,1,0,0,0,0,0,0,0,0,0,0,1
,25.1,63.0,1797,265,0,2,0,0,0,0,0,0,0,0,0,0,1
,18.3,63.0,1780,277,0,3,0,0,0,0,0,0,0,0,0,0,1
,24.5,63.0,1817,286,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.5,63.0,1812,300,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.7,62.8,1813,300,0,3,0,0,0,0,0,0,0,0,0,0,1
,43.5,62.8,1810,300,0,2,0,0,0,0,0,0,0,0,0,0,1
,30.7,62.3,2074,160,0,1,0,0,0,0,0,0,0,0,0,0,1
,28.6,62.5,2075,192,0,0,0,0,0,0,0,0,0,0,0,0,1
,28.0,62.5,2141,192,0,1,0,0,0,0,0,0,0,0,0,0,1
,18.8,62.6,1230,730,0,1,0,0,0,0,0,0,0,0,0,0,1
,22.5,62.6,1306,739,0,0,0,0,0,0,0,0,0,0,0,0,1
,26.7,62.7,1311,731,0,1,0,0,0,0,0,0,0,0,0,0,1
,18.3,62.7,1124,902,0,1,0,0,0,0,0,0,0,0,0,0,1
,20.4,62.7,1199,791,0,0,0,0,0,0,0,0,0,0,0,0,1
,21.9,62.8,1266,523,0,1,0,0,0,0,0,0,0,0,0,0,1
,17.9,62.8,1106,605,0,2,0,0,0,0,0,0,0,0,0,0,1
,21.2,62.8,1143,525,0,1,0,0,1,0,0,0,0,0,0,0,1
,24.3,62.7,1217,538,0,1,0,0,3,0,0,0,0,0,0,0,1
,38.2,63.0,1261,531,0,1,0,0,0,0,0,0,0,0,0,0,1
,18.9,62.9,1294,418,0,0,0,0,0,0,0,0,0,0,0,0,1
,18.1,62.7,1166,575,0,1,0,0,0,0,0,0,0,0,0,0,1
,15.8,62.8,1208,567,0,3,0,0,0,0,0,0,0,0,0,0,1
,17.8,62.8,1208,567,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.9,62.8,1208,567,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.1,62.8,1209,567,0,3,0,0,0,0,0,0,0,0,0,0,1
,31.5,62.1,1213,566,0,2,0,0,0,0,0,0,0,0,0,0,1
,28.1,62.3,1414,517,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.4,62.2,1397,547,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.3,62.2,1155,360,0,1,0,0,0,0,0,0,0,0,0,0,1
,21.9,62.0,1114,866,0,1,0,1,0,0,0,0,0,0,0,0,1
,17.1,62.0,1258,1026,0,0,0,16,0,0,0,0,0,0,0,0,1
,21.8,62.0,1190,490,0,2,0,15,0,0,0,0,0,0,0,0,1
,21.0,62.0,1146,648,0,1,0,16,0,0,0,0,0,0,0,0,1
,19.0,62.0,1140,1007,0,3,0,0,0,0,0,0,0,0,0,0,1
,14.1,62.0,1123,1198,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.6,61.7,1307,542,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.8,61.7,909,522,0,0,0,0,0,0,0,0,0,0,0,0,1
,22.3,61.6,1082,415,0,1,0,0,0,0,0,0,0,0,0,0,1
,13.8,61.7,1272,470,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.7,1448,493,0,2,0,0,1,0,0,0,0,0,0,0,1
,14.5,61.7,1175,476,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.0,61.7,1200,491,0,2,0,0,0,0,0,0,0,0,0,0,1
,18.3,61.7,1182,512,0,2,0,0,0,0,0,0,0,0,0,0,1
,21.2,61.5,1200,543,0,2,0,0,0,0,0,0,0,0,0,0,1
,21.2,61.5,1200,543,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.3,61.5,1192,547,0,3,0,0,0,0,0,0,0,0,0,0,1
,13.0,61.5,1170,559,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.5,1162,565,0,1,0,0,0,0,0,0,0,0,0,0,1
,16.6,61.5,1188,555,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.6,61.5,1189,555,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.3,61.5,1196,550,0,2,0,0,0,0,0,0,0,0,0,0,1
,12.9,61.5,1216,560,0,2,0,0,0,0,0,0,0,0,0,0,1
,25.1,61.6,1218,559,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.3,61.5,1215,557,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.0,61.7,1215,557,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.6,61.5,1209,558,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.2,61.5,1213,583,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.6,61.5,1012,594,0,1,0,0,0,0,0,0,0,0,0,0,1
,16.1,61.5,1252,576,0,3,0,0,0,0,0,0,0,0,0,0,1
,16.0,61.5,1169,581,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.1,61.5,1117,622,0,3,0,0,0,0,0,0,0,0,0,0,1
,15.1,61.5,1171,546,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.5,1308,647,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.9,61.5,1295,725,0,3,0,0,0,0,0,0,0,0,0,0,1
,18.6,61.5,1223,606,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.1,61.5,1300,725,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.4,61.5,1111,477,0,2,0,0,0,0,0,0,0,0,0,0,1
,12.3,61.5,1166,563,0,3,0,0,0,0,0,0,0,0,0,0,1
,19.8,61.5,1162,558,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.0,61.5,1174,553,0,1,0,0,0,0,0,0,0,0,0,0,1
,20.9,61.6,1166,531,0,2,0,0,0,0,0,0,0,0,0,0,1
,24.0,61.8,1032,602,0,2,1,0,0,0,0,0,0,0,0,0,1
,17.9,61.8,1164,648,0,1,0,0,0,0,0,0,0,0,0,0,1
,18.9,61.8,1075,699,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.8,61.7,1439,826,0,1,1,0,0,0,0,0,0,0,0,0,1
,23.8,61.8,1468,791,0,3,0,0,0,0,0,0,0,0,0,0,1
,17.1,61.7,1141,560,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.2,61.8,1125,570,0,0,0,1,0,0,0,0,0,0,0,0,1
,17.4,61.7,1428,847,0,3,0,0,0,0,0,0,0,0,0,0,1
,25.4,61.7,1195,511,0,2,0,1,0,0,0,0,0,0,0,0,1
,18.6,61.6,1196,497,0,1,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.6,1255,740,0,3,0,0,0,0,0,0,0,0,0,0,1
,18.7,61.7,1097,487,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.8,61.7,1097,487,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.1,61.7,1211,1113,0,0,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.7,1263,1226,0,0,0,0,0,0,0,0,0,0,0,0,1
,20.2,61.7,1208,1245,1,0,0,0,0,0,0,0,0,0,0,0,1
,12.3,61.7,1191,1300,0,0,0,0,0,0,0,0,0,0,0,0,1
,19.2,61.6,1232,1049,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.0,61.6,1581,1439,0,0,0,0,0,0,0,0,0,0,0,0,1
,19.9,61.6,1579,1306,1,0,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.6,833,347,1,0,0,0,0,0,0,0,0,0,0,0,1
,14.0,61.6,1633,528,1,0,0,0,0,0,0,0,0,0,0,0,1
,17.3,61.6,1537,551,0,0,0,0,0,0,0,0,0,0,0,0,1
,24.9,61.6,1712,667,0,0,0,0,0,0,0,0,0,0,0,0,1
,21.2,61.6,2077,533,1,0,0,0,0,0,0,0,0,0,0,0,1
,17.4,61.6,1929,222,1,0,0,0,0,0,0,0,0,0,0,0,1
,16.8,61.6,916,1049,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.9,61.6,1720,386,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.7,61.7,1991,643,0,3,0,0,0,0,0,0,0,0,0,0,1
,24.8,61.7,1981,642,0,1,0,0,0,0,0,0,0,0,0,0,1
,20.1,61.6,1787,783,0,1,0,0,0,0,0,0,0,0,0,0,1
,15.3,61.6,1917,676,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.5,61.6,1818,674,0,1,0,0,0,0,0,0,0,0,0,0,1
,18.2,61.7,1791,559,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.3,61.7,1808,532,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.7,61.6,1745,577,0,3,0,0,0,0,0,0,0,0,0,0,1
,20.2,61.6,1832,568,0,1,0,0,0,0,0,0,0,0,0,0,1
,13.1,61.6,1834,576,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.5,61.6,1838,576,0,0,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.6,1795,620,0,1,0,0,0,0,0,0,0,0,0,0,1
,24.2,61.7,1793,857,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.8,61.6,1913,807,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.4,61.6,1876,659,0,1,0,0,0,0,0,0,0,0,0,0,1
,22.0,61.7,1875,659,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.6,61.7,1718,669,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.0,61.7,1736,629,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.9,61.7,2559,1217,0,0,0,0,0,0,0,0,0,0,0,0,1
,19.0,61.7,2487,1383,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.5,61.7,1729,715,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.3,61.7,1729,686,0,2,0,0,0,0,0,0,0,0,0,0,1
,18.6,61.7,1649,636,0,1,0,0,0,0,0,0,0,0,0,0,1
,13.8,61.7,1722,590,0,0,0,0,0,0,0,0,0,0,0,0,1
,13.4,61.7,1932,736,0,0,0,0,0,0,0,0,0,0,0,0,1
,17.8,61.6,1891,569,0,1,0,0,0,0,0,0,0,0,0,0,1
,20.4,61.7,1526,605,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.7,1462,578,0,3,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.6,1224,549,0,3,0,0,0,0,0,0,0,0,0,0,1
,16.0,61.6,1227,700,0,3,0,0,0,0,0,0,0,0,0,0,1
,18.3,61.6,1262,456,0,2,0,0,0,0,0,0,0,0,0,0,1
,22.2,61.6,1133,605,0,0,1,2,0,0,0,0,0,0,0,0,1
,18.2,61.6,1139,624,0,0,5,0,0,0,0,0,0,0,0,0,1
,14.6,61.6,1003,546,0,2,1,0,0,0,0,0,0,0,0,0,1
,17.0,61.6,1577,780,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.1,61.6,1562,758,0,0,0,0,0,0,0,0,0,0,0,0,1
,22.6,61.6,1460,670,0,0,0,1,0,0,0,0,0,0,0,0,1
,15.3,61.6,1302,629,0,0,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.6,1205,695,0,0,0,0,0,0,0,0,0,0,0,0,1
,20.3,61.6,1209,656,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.2,61.7,1183,726,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.7,61.7,1173,735,0,3,0,0,0,0,0,0,0,0,0,0,1
,15.4,61.7,1129,748,0,3,0,0,0,0,0,0,0,0,0,0,1
,18.2,61.7,1153,736,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.7,61.6,1161,733,0,3,0,0,0,0,0,0,0,0,0,0,1
,19.6,61.6,1687,570,0,1,0,0,0,0,0,0,0,0,0,0,1
,13.9,61.6,1066,717,0,1,0,0,0,0,0,0,0,0,0,0,1
,17.1,61.6,1047,685,0,0,0,1,0,0,0,0,0,0,0,0,1
,16.3,61.6,1320,448,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.3,61.6,1300,459,0,0,0,0,1,0,0,0,0,0,0,0,1
,18.3,61.6,1309,457,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.6,61.6,1270,670,0,3,0,0,0,0,0,0,0,0,0,0,1
,22.0,61.6,1341,595,0,1,0,0,1,0,0,0,0,0,0,0,1
,21.2,61.6,1531,567,0,1,1,0,0,0,0,0,0,0,0,0,1
,21.6,61.6,1380,634,0,2,0,0,0,0,0,0,0,0,0,0,1
,19.3,61.6,1424,611,0,1,0,0,0,0,0,0,0,0,0,0,1
,18.9,61.6,1427,611,0,0,0,1,0,0,0,0,0,0,0,0,1
,23.7,61.6,1566,563,0,0,2,0,0,0,0,0,0,0,0,0,1
,19.4,61.6,1306,670,0,3,0,0,0,0,0,0,0,0,0,0,1
,17.8,61.7,1415,651,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.8,61.7,1300,622,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.0,61.7,1285,634,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.2,61.6,1101,743,0,2,0,0,0,0,0,0,0,0,0,0,1
,24.0,61.7,1124,720,0,1,0,0,0,0,0,0,0,0,0,0,1
,19.4,61.7,1278,619,0,2,0,0,0,0,0,0,0,0,0,0,1
,20.6,61.7,1282,577,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.7,1385,457,0,2,0,0,0,0,0,0,0,0,0,0,1
,19.0,61.6,1368,476,0,0,0,0,0,0,0,0,0,0,0,0,1
,20.2,61.6,1164,346,0,1,0,0,0,0,0,0,0,0,0,0,1
,16.1,61.6,871,1119,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.9,61.6,1397,579,0,1,0,0,0,0,0,0,0,0,0,0,1
,16.6,61.6,1210,466,0,0,0,0,0,0,0,0,0,0,0,0,1
,28.2,61.6,793,755,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.7,61.7,1335,297,0,0,0,0,0,0,0,0,0,0,0,0,1
,17.8,61.6,1590,372,0,0,0,0,0,0,0,0,0,0,0,0,1
,18.2,61.6,1321,436,0,2,0,0,0,0,0,0,0,0,0,0,1
,14.4,61.6,1324,438,0,2,0,0,0,0,0,0,0,0,0,0,1
,19.0,61.6,1304,496,0,1,0,0,0,0,0,0,0,0,0,0,1
,15.0,61.6,1319,495,0,0,0,0,0,0,0,0,0,0,0,0,1
,18.5,61.6,1319,495,0,1,0,0,0,0,0,0,0,0,0,0,1
,16.3,61.6,1308,499,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.1,61.6,1304,499,0,3,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.6,1304,499,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.5,61.6,1293,502,0,2,0,0,0,0,0,0,0,0,0,0,1
,18.1,61.6,1296,500,0,3,0,0,0,0,0,0,0,0,0,0,1
,12.2,61.6,1284,507,0,2,0,0,0,0,0,0,0,0,0,0,1
,22.6,61.6,1293,504,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.6,61.6,1282,514,0,3,0,0,0,0,0,0,0,0,0,0,1
,23.5,61.6,1338,523,0,1,0,0,0,0,0,0,0,0,0,0,1
,19.6,61.6,1311,521,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.6,61.7,1368,499,0,1,0,0,0,0,0,0,0,0,0,0,1
,14.3,61.6,1346,514,0,3,0,0,0,0,0,0,0,0,0,0,1
,16.1,61.6,1310,496,0,3,0,0,0,0,0,0,0,0,0,0,1
,24.2,61.7,1287,490,0,2,0,0,0,0,0,0,0,0,0,0,1
,19.2,61.6,1302,523,0,1,0,0,0,0,0,0,0,0,0,0,1
,25.6,61.6,1268,526,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.3,61.6,1270,529,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.4,61.5,1250,526,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.4,61.6,1248,521,0,2,0,0,0,0,0,0,0,0,0,0,1
,13.1,61.6,1256,515,0,2,0,0,0,0,0,0,0,0,0,0,1
,19.3,61.6,1276,513,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.8,61.6,1271,519,0,3,0,0,0,0,0,0,0,0,0,0,1
,18.3,61.6,493,1039,0,0,0,0,0,0,0,0,0,0,0,0,1
,23.1,61.7,637,987,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.5,61.7,1024,1077,0,2,0,0,0,0,0,0,0,0,0,0,1
,17.4,61.8,1114,1186,0,2,0,0,0,0,0,0,0,0,0,0,1
,16.3,61.8,1210,613,0,1,0,0,0,0,0,0,0,0,0,0,1
,13.4,61.8,1187,629,0,0,0,1,0,0,0,0,0,0,0,0,1
,18.8,61.7,1189,515,0,0,0,0,0,0,0,0,0,0,0,0,1
,16.4,61.7,1202,533,0,0,0,0,0,0,0,0,0,0,0,0,1
,14.0,61.7,1172,588,0,1,0,0,0,0,0,0,0,0,0,0,1
,17.5,61.7,1182,592,0,3,0,0,0,0,0,0,0,0,0,0,1
,19.0,61.7,1271,614,0,2,0,0,0,0,0,0,0,0,0,0,1
,15.3,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,23.2,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,21.9,61.8,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.8,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.8,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.2,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,20.6,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,27.4,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
,15.7,61.7,1521,664,0,0,0,0,0,0,0,0,0,0,0,0,1
